Periodo,Categoría,Residencia viajero,DATA
2018M10,"2, 3 y 4 Llaves",Residentes en Espańa,876.58
2018M10,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M11,TOTAL,TOTAL,6448.26
2018M11,TOTAL,Residentes en Espańa,6243.88
2018M11,TOTAL,No residentes en Espańa,204.38
2018M11,1 Llave,TOTAL,5922.26
2018M11,1 Llave,Residentes en Espańa,5717.88
2018M11,1 Llave,No residentes en Espańa,204.38
2018M11,"2, 3 y 4 Llaves",TOTAL,526
2018M11,"2, 3 y 4 Llaves",Residentes en Espańa,526
2018M11,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M12,TOTAL,TOTAL,9792.54
2018M12,TOTAL,Residentes en Espańa,9359.93
2018M12,TOTAL,No residentes en Espańa,432.62
2018M12,1 Llave,TOTAL,8844.96
2018M12,1 Llave,Residentes en Espańa,8412.34
2018M12,1 Llave,No residentes en Espańa,432.62
2018M12,"2, 3 y 4 Llaves",TOTAL,947.59
2018M12,"2, 3 y 4 Llaves",Residentes en Espańa,947.59
2018M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2019M01,TOTAL,TOTAL,4053.11
2019M01,TOTAL,Residentes en Espańa,3900.89
2019M01,TOTAL,No residentes en Espańa,152.23
2019M01,1 Llave,TOTAL,3688.23
2019M01,1 Llave,Residentes en Espańa,3536
2019M01,1 Llave,No residentes en Espańa,152.23
2019M01,"2, 3 y 4 Llaves",TOTAL,364.88
2019M01,"2, 3 y 4 Llaves",Residentes en Espańa,364.88
2019M01,"2, 3 y 4 Llaves",No residentes en Espańa,
2019M02,TOTAL,TOTAL,5505.11
2019M02,TOTAL,Residentes en Espańa,5064.39
2019M02,TOTAL,No residentes en Espańa,440.72
2019M02,1 Llave,TOTAL,4666.08
2019M02,1 Llave,Residentes en Espańa,4420.49
2019M02,1 Llave,No residentes en Espańa,245.59
2019M02,"2, 3 y 4 Llaves",TOTAL,839.03
2019M02,"2, 3 y 4 Llaves",Residentes en Espańa,643.91
2019M02,"2, 3 y 4 Llaves",No residentes en Espańa,195.12
2019M03,TOTAL,TOTAL,6363.35
2019M03,TOTAL,Residentes en Espańa,5989.12
2019M03,TOTAL,No residentes en Espańa,374.23
2019M03,1 Llave,TOTAL,5372.85
2019M03,1 Llave,Residentes en Espańa,5102.25
2019M03,1 Llave,No residentes en Espańa,270.6
2019M03,"2, 3 y 4 Llaves",TOTAL,990.5
2019M03,"2, 3 y 4 Llaves",Residentes en Espańa,886.87
2019M03,"2, 3 y 4 Llaves",No residentes en Espańa,103.63
2019M04,TOTAL,TOTAL,9468.18
2019M04,TOTAL,Residentes en Espańa,8831.45
2019M04,TOTAL,No residentes en Espańa,636.73
2019M04,1 Llave,TOTAL,8462.76
2019M04,1 Llave,Residentes en Espańa,7907.22
2019M04,1 Llave,No residentes en Espańa,555.54
2019M04,"2, 3 y 4 Llaves",TOTAL,1005.42
2019M04,"2, 3 y 4 Llaves",Residentes en Espańa,924.23
2019M04,"2, 3 y 4 Llaves",No residentes en Espańa,81.18
2019M05,TOTAL,TOTAL,6410.78
2019M05,TOTAL,Residentes en Espańa,4801.17
2019M05,TOTAL,No residentes en Espańa,1609.61
