Periodo,Categoría,Grado de ocupación,DATA
2017M01,Hostales y pensiones,grado de ocupación por plazas,12.15
2017M01,Hostales y pensiones,grado de ocupación de plazas de fin de semana,15.66
2017M01,Hostales y pensiones,grado de ocupación por habitaciones,16.84
2017M02,TOTAL,grado de ocupación por plazas,33.54
2017M02,TOTAL,grado de ocupación de plazas de fin de semana,52.82
2017M02,TOTAL,grado de ocupación por habitaciones,41.62
2017M02,4 y 5 estrellas,grado de ocupación por plazas,42.38
2017M02,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,67.12
2017M02,4 y 5 estrellas,grado de ocupación por habitaciones,52.69
2017M02,3 estrellas,grado de ocupación por plazas,40.81
2017M02,3 estrellas,grado de ocupación de plazas de fin de semana,60.77
2017M02,3 estrellas,grado de ocupación por habitaciones,50.59
2017M02,1 y 2 estrellas,grado de ocupación por plazas,18.38
2017M02,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,34.3
2017M02,1 y 2 estrellas,grado de ocupación por habitaciones,20.59
2017M02,Hostales y pensiones,grado de ocupación por plazas,17.57
2017M02,Hostales y pensiones,grado de ocupación de plazas de fin de semana,31.66
2017M02,Hostales y pensiones,grado de ocupación por habitaciones,23.58
2017M03,TOTAL,grado de ocupación por plazas,38.54
2017M03,TOTAL,grado de ocupación de plazas de fin de semana,58.22
2017M03,TOTAL,grado de ocupación por habitaciones,47.75
2017M03,4 y 5 estrellas,grado de ocupación por plazas,46.02
2017M03,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,72.29
2017M03,4 y 5 estrellas,grado de ocupación por habitaciones,56.52
2017M03,3 estrellas,grado de ocupación por plazas,47.24
2017M03,3 estrellas,grado de ocupación de plazas de fin de semana,64.57
2017M03,3 estrellas,grado de ocupación por habitaciones,59.34
2017M03,1 y 2 estrellas,grado de ocupación por plazas,25.08
2017M03,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,42.76
2017M03,1 y 2 estrellas,grado de ocupación por habitaciones,27.72
2017M03,Hostales y pensiones,grado de ocupación por plazas,20.77
2017M03,Hostales y pensiones,grado de ocupación de plazas de fin de semana,38.78
2017M03,Hostales y pensiones,grado de ocupación por habitaciones,27.1
2017M04,TOTAL,grado de ocupación por plazas,50.46
2017M04,TOTAL,grado de ocupación de plazas de fin de semana,67.94
2017M04,TOTAL,grado de ocupación por habitaciones,56.75
2017M04,4 y 5 estrellas,grado de ocupación por plazas,60.8
2017M04,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,79.1
2017M04,4 y 5 estrellas,grado de ocupación por habitaciones,66.22
2017M04,3 estrellas,grado de ocupación por plazas,58.96
2017M04,3 estrellas,grado de ocupación de plazas de fin de semana,76.36
2017M04,3 estrellas,grado de ocupación por habitaciones,67.96
2017M04,1 y 2 estrellas,grado de ocupación por plazas,35.61
2017M04,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,54.56
2017M04,1 y 2 estrellas,grado de ocupación por habitaciones,35.93
2017M04,Hostales y pensiones,grado de ocupación por plazas,31.74
2017M04,Hostales y pensiones,grado de ocupación de plazas de fin de semana,48.2
2017M04,Hostales y pensiones,grado de ocupación por habitaciones,37.22
2017M05,TOTAL,grado de ocupación por plazas,45.13
2017M05,TOTAL,grado de ocupación de plazas de fin de semana,61.43
2017M05,TOTAL,grado de ocupación por habitaciones,55.74
2017M05,4 y 5 estrellas,grado de ocupación por plazas,56.1
2017M05,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,72.96
