Periodo,País de residencia,Medida,DATA
2017M09,Francia,Viajeros,87.4
2017M09,Francia,Pernoctaciones,152.32
2017M09,Reino Unido,Viajeros,62.43
2017M09,Reino Unido,Pernoctaciones,92.39
2017M09,Resto de no residentes en Espańa,Viajeros,39.95
2017M09,Resto de no residentes en Espańa,Pernoctaciones,84.9
2017M09,Resto de UE,Viajeros,14.98
2017M09,Resto de UE,Pernoctaciones,39.95
2017M09,Resto de Europa,Viajeros,12.49
2017M09,Resto de Europa,Pernoctaciones,44.95
2017M09,Estados Unidos,Viajeros,44.95
2017M09,Estados Unidos,Pernoctaciones,102.38
2017M09,Paises Bajos,Viajeros,4.99
2017M09,Paises Bajos,Pernoctaciones,14.98
2017M09,Italia,Viajeros,32.46
2017M09,Italia,Pernoctaciones,47.44
2017M10,TOTAL,Viajeros,4064.12
2017M10,TOTAL,Pernoctaciones,8857.9
2017M10,RESIDENTES EN ESPAŃA,Viajeros,3924.67
2017M10,RESIDENTES EN ESPAŃA,Pernoctaciones,8613.85
2017M10,NO RESIDENTE EN ESPAŃA,Viajeros,139.46
2017M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,244.05
2017M10,Alemania,Viajeros,4.98
2017M10,Alemania,Pernoctaciones,4.98
2017M10,Francia,Viajeros,27.39
2017M10,Francia,Pernoctaciones,39.84
2017M10,Reino Unido,Viajeros,24.9
2017M10,Reino Unido,Pernoctaciones,29.88
2017M10,Resto de no residentes en Espańa,Viajeros,39.84
2017M10,Resto de no residentes en Espańa,Pernoctaciones,69.73
2017M10,Resto de UE,Viajeros,4.98
2017M10,Resto de UE,Pernoctaciones,14.94
2017M10,Resto de Europa,Viajeros,12.45
2017M10,Resto de Europa,Pernoctaciones,19.92
2017M10,Estados Unidos,Viajeros,14.94
2017M10,Estados Unidos,Pernoctaciones,44.82
2017M10,Paises Bajos,Viajeros,4.98
2017M10,Paises Bajos,Pernoctaciones,14.94
2017M10,Italia,Viajeros,4.98
2017M10,Italia,Pernoctaciones,4.98
2017M11,TOTAL,Viajeros,2838.91
2017M11,TOTAL,Pernoctaciones,5354.09
2017M11,RESIDENTES EN ESPAŃA,Viajeros,2809.03
2017M11,RESIDENTES EN ESPAŃA,Pernoctaciones,5314.24
