Subcategoria,Indicador,Periodo,Gastos/Estancia,Categoria,Tipo de gasto,Fecha
"Ocio, recreo y vacaciones",Gasto total,2018,52469.7,Motivo del viaje,No disponible,2018-01-01
"Ocio, recreo y vacaciones",Gasto total,2019,58276.35,Motivo del viaje,No disponible,2019-01-01
"Ocio, recreo y vacaciones",Gasto total,2020,10229.85,Motivo del viaje,No disponible,2020-01-01
"Ocio, recreo y vacaciones",Gasto total,2021,21035.59,Motivo del viaje,No disponible,2021-01-01
"Ocio, recreo y vacaciones",Gasto total,2022,59445.82,Motivo del viaje,No disponible,2022-01-01
"Ocio, recreo y vacaciones",Gasto total,2023,36179.05,Motivo del viaje,No disponible,2023-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2016,481.26,Motivo del viaje,No disponible,2016-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2017,650.13,Motivo del viaje,No disponible,2017-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2018,797.28,Motivo del viaje,No disponible,2018-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2019,706.17,Motivo del viaje,No disponible,2019-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2020,580.27,Motivo del viaje,No disponible,2020-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2021,794.36,Motivo del viaje,No disponible,2021-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2022,993.66,Motivo del viaje,No disponible,2022-01-01
"Ocio, recreo y vacaciones",Gasto medio por persona,2023,959.1,Motivo del viaje,No disponible,2023-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2016,95.27,Motivo del viaje,No disponible,2016-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2017,144.49,Motivo del viaje,No disponible,2017-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2018,119.58,Motivo del viaje,No disponible,2018-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2019,128.54,Motivo del viaje,No disponible,2019-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2020,70.16,Motivo del viaje,No disponible,2020-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2021,152.48,Motivo del viaje,No disponible,2021-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2022,196.08,Motivo del viaje,No disponible,2022-01-01
"Ocio, recreo y vacaciones",Gasto medio diario por persona,2023,156.65,Motivo del viaje,No disponible,2023-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2016,5.05,Motivo del viaje,No disponible,2016-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2017,4.5,Motivo del viaje,No disponible,2017-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2018,6.67,Motivo del viaje,No disponible,2018-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2019,5.49,Motivo del viaje,No disponible,2019-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2020,8.27,Motivo del viaje,No disponible,2020-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2021,5.21,Motivo del viaje,No disponible,2021-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2022,5.07,Motivo del viaje,No disponible,2022-01-01
"Ocio, recreo y vacaciones",Duración media de los viajes,2023,6.12,Motivo del viaje,No disponible,2023-01-01
Negocios,Gasto total,2016,18162.78,Motivo del viaje,No disponible,2016-01-01
Negocios,Gasto total,2017,26965.87,Motivo del viaje,No disponible,2017-01-01
Negocios,Gasto total,2018,22474.96,Motivo del viaje,No disponible,2018-01-01
Negocios,Gasto total,2019,12308.8,Motivo del viaje,No disponible,2019-01-01
Negocios,Gasto total,2020,3952.61,Motivo del viaje,No disponible,2020-01-01
Negocios,Gasto total,2021,3155.42,Motivo del viaje,No disponible,2021-01-01
Negocios,Gasto total,2022,13086.44,Motivo del viaje,No disponible,2022-01-01
Negocios,Gasto total,2023,19027.09,Motivo del viaje,No disponible,2023-01-01
Negocios,Gasto medio por persona,2016,814.34,Motivo del viaje,No disponible,2016-01-01
Negocios,Gasto medio por persona,2017,1559.79,Motivo del viaje,No disponible,2017-01-01
Negocios,Gasto medio por persona,2018,810.9,Motivo del viaje,No disponible,2018-01-01
Negocios,Gasto medio por persona,2019,815.19,Motivo del viaje,No disponible,2019-01-01
Negocios,Gasto medio por persona,2020,366.57,Motivo del viaje,No disponible,2020-01-01
Negocios,Gasto medio por persona,2021,515.85,Motivo del viaje,No disponible,2021-01-01
Negocios,Gasto medio por persona,2022,770.35,Motivo del viaje,No disponible,2022-01-01
Negocios,Gasto medio por persona,2023,757.85,Motivo del viaje,No disponible,2023-01-01
Negocios,Gasto medio diario por persona,2016,159.84,Motivo del viaje,No disponible,2016-01-01
Negocios,Gasto medio diario por persona,2017,75.82,Motivo del viaje,No disponible,2017-01-01
Negocios,Gasto medio diario por persona,2018,164.68,Motivo del viaje,No disponible,2018-01-01
Negocios,Gasto medio diario por persona,2019,242.49,Motivo del viaje,No disponible,2019-01-01
Negocios,Gasto medio diario por persona,2020,216.06,Motivo del viaje,No disponible,2020-01-01
Negocios,Gasto medio diario por persona,2021,214.79,Motivo del viaje,No disponible,2021-01-01
Negocios,Gasto medio diario por persona,2022,227.05,Motivo del viaje,No disponible,2022-01-01
Negocios,Gasto medio diario por persona,2023,305.6,Motivo del viaje,No disponible,2023-01-01
Negocios,Duración media de los viajes,2016,5.09,Motivo del viaje,No disponible,2016-01-01
Negocios,Duración media de los viajes,2017,20.57,Motivo del viaje,No disponible,2017-01-01
Negocios,Duración media de los viajes,2018,4.92,Motivo del viaje,No disponible,2018-01-01
Negocios,Duración media de los viajes,2019,3.36,Motivo del viaje,No disponible,2019-01-01
Negocios,Duración media de los viajes,2020,1.7,Motivo del viaje,No disponible,2020-01-01
Negocios,Duración media de los viajes,2021,2.4,Motivo del viaje,No disponible,2021-01-01
Negocios,Duración media de los viajes,2022,3.39,Motivo del viaje,No disponible,2022-01-01
Negocios,Duración media de los viajes,2023,2.48,Motivo del viaje,No disponible,2023-01-01
Otros motivos,Gasto total,2016,35692.66,Motivo del viaje,No disponible,2016-01-01
Otros motivos,Gasto total,2017,19538.28,Motivo del viaje,No disponible,2017-01-01
Otros motivos,Gasto total,2018,26181.84,Motivo del viaje,No disponible,2018-01-01
Otros motivos,Gasto total,2019,27616.58,Motivo del viaje,No disponible,2019-01-01
Otros motivos,Gasto total,2020,7652.82,Motivo del viaje,No disponible,2020-01-01
Otros motivos,Gasto total,2021,17836.47,Motivo del viaje,No disponible,2021-01-01
Otros motivos,Gasto total,2022,36071.83,Motivo del viaje,No disponible,2022-01-01
Otros motivos,Gasto total,2023,31523.68,Motivo del viaje,No disponible,2023-01-01
Otros motivos,Gasto medio por persona,2016,909.39,Motivo del viaje,No disponible,2016-01-01
Otros motivos,Gasto medio por persona,2017,688.38,Motivo del viaje,No disponible,2017-01-01
Otros motivos,Gasto medio por persona,2018,530.0,Motivo del viaje,No disponible,2018-01-01
Otros motivos,Gasto medio por persona,2019,659.53,Motivo del viaje,No disponible,2019-01-01
Otros motivos,Gasto medio por persona,2020,451.68,Motivo del viaje,No disponible,2020-01-01
Otros motivos,Gasto medio por persona,2021,1164.65,Motivo del viaje,No disponible,2021-01-01
Otros motivos,Gasto medio por persona,2022,1013.93,Motivo del viaje,No disponible,2022-01-01
Otros motivos,Gasto medio por persona,2023,569.23,Motivo del viaje,No disponible,2023-01-01
Otros motivos,Gasto medio diario por persona,2016,85.64,Motivo del viaje,No disponible,2016-01-01
Otros motivos,Gasto medio diario por persona,2017,67.97,Motivo del viaje,No disponible,2017-01-01
Otros motivos,Gasto medio diario por persona,2018,66.38,Motivo del viaje,No disponible,2018-01-01
