Periodo,Categoría,Grado de ocupación,DATA
2021M01,TOTAL,grado de ocupación por parcelas,69.64
2021M01,TOTAL,grado de ocupacion por parcelas fin de semana,69.79
2021M01,Camping de 1Ş,grado de ocupación por parcelas,69.64
2021M01,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,69.79
2021M01,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2021M01,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2021M03,TOTAL,grado de ocupación por parcelas,66.2
2021M03,TOTAL,grado de ocupacion por parcelas fin de semana,45.06
2021M03,Camping de 1Ş,grado de ocupación por parcelas,69.37
2021M03,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,48.33
2021M03,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2021M03,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2021M05,TOTAL,grado de ocupación por parcelas,61.42
2021M05,TOTAL,grado de ocupacion por parcelas fin de semana,59.25
2021M05,Camping de 1Ş,grado de ocupación por parcelas,69.3
2021M05,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,62.41
2021M05,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,6.93
2021M05,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,46.71
2021M06,TOTAL,grado de ocupación por parcelas,65.29
2021M06,TOTAL,grado de ocupacion por parcelas fin de semana,63.01
2021M06,Camping de 1Ş,grado de ocupación por parcelas,71.22
2021M06,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,67.5
2021M06,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,7.69
2021M06,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,44.02
2021M07,TOTAL,grado de ocupación por parcelas,73.5
2021M07,TOTAL,grado de ocupacion por parcelas fin de semana,74.38
2021M07,Camping de 1Ş,grado de ocupación por parcelas,76.68
2021M07,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,76.29
2021M07,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,11.47
2021M07,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,66.27
2021M08,TOTAL,grado de ocupación por parcelas,72.99
2021M08,TOTAL,grado de ocupacion por parcelas fin de semana,75.11
2021M08,Camping de 1Ş,grado de ocupación por parcelas,73.55
2021M08,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,69.69
2021M08,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,13.5
2021M08,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,98.02
