Periodo,Categoría,Residencia viajero,DATA
2019M08,Camping de 2Ş y 3Ş,No residentes en Espańa,2597.88
2019M09,TOTAL,TOTAL,32879
2019M09,TOTAL,Residentes en Espańa,29586.3
2019M09,TOTAL,No residentes en Espańa,3292.7
2019M09,Camping de 1Ş,TOTAL,25296
2019M09,Camping de 1Ş,Residentes en Espańa,24044.73
2019M09,Camping de 1Ş,No residentes en Espańa,1251.27
2019M09,Camping de 2Ş y 3Ş,TOTAL,
2019M09,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M09,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M10,TOTAL,TOTAL,15627
2019M10,TOTAL,Residentes en Espańa,12335.64
2019M10,TOTAL,No residentes en Espańa,3291.36
2019M10,Camping de 1Ş,TOTAL,10775
2019M10,Camping de 1Ş,Residentes en Espańa,9967.08
2019M10,Camping de 1Ş,No residentes en Espańa,807.92
2019M10,Camping de 2Ş y 3Ş,TOTAL,
2019M10,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M10,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M11,TOTAL,TOTAL,10308
2019M11,TOTAL,Residentes en Espańa,9744.26
2019M11,TOTAL,No residentes en Espańa,563.74
2019M11,Camping de 1Ş,TOTAL,8658
2019M11,Camping de 1Ş,Residentes en Espańa,8323.2
2019M11,Camping de 1Ş,No residentes en Espańa,334.8
2019M11,Camping de 2Ş y 3Ş,TOTAL,
2019M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M12,TOTAL,TOTAL,9501
2019M12,TOTAL,Residentes en Espańa,9195.22
2019M12,TOTAL,No residentes en Espańa,305.78
2019M12,Camping de 1Ş,TOTAL,9257
2019M12,Camping de 1Ş,Residentes en Espańa,8963.13
2019M12,Camping de 1Ş,No residentes en Espańa,293.87
2019M12,Camping de 2Ş y 3Ş,TOTAL,
2019M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M01,TOTAL,TOTAL,3683
2020M01,TOTAL,Residentes en Espańa,3439.25
2020M01,TOTAL,No residentes en Espańa,243.75
2020M01,Camping de 1Ş,TOTAL,3463
2020M01,Camping de 1Ş,Residentes en Espańa,3219.25
2020M01,Camping de 1Ş,No residentes en Espańa,243.75
2020M01,Camping de 2Ş y 3Ş,TOTAL,
2020M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M02,TOTAL,TOTAL,7730
2020M02,TOTAL,Residentes en Espańa,6849.56
2020M02,TOTAL,No residentes en Espańa,880.44
2020M02,Camping de 1Ş,TOTAL,5954
2020M02,Camping de 1Ş,Residentes en Espańa,5733.7
2020M02,Camping de 1Ş,No residentes en Espańa,220.3
2020M02,Camping de 2Ş y 3Ş,TOTAL,
2020M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M03,TOTAL,TOTAL,3143.87
2020M03,TOTAL,Residentes en Espańa,3143.87
2020M03,TOTAL,No residentes en Espańa,
2020M03,Camping de 1Ş,TOTAL,2505.87
2020M03,Camping de 1Ş,Residentes en Espańa,2505.87
2020M03,Camping de 1Ş,No residentes en Espańa,
2020M03,Camping de 2Ş y 3Ş,TOTAL,
2020M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M05,TOTAL,TOTAL,
2020M05,TOTAL,Residentes en Espańa,
2020M05,TOTAL,No residentes en Espańa,
2020M05,Camping de 1Ş,TOTAL,
2020M05,Camping de 1Ş,Residentes en Espańa,
2020M05,Camping de 1Ş,No residentes en Espańa,
2020M05,Camping de 2Ş y 3Ş,TOTAL,
2020M05,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M05,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M06,TOTAL,TOTAL,10019.62
2020M06,TOTAL,Residentes en Espańa,9998.02
2020M06,TOTAL,No residentes en Espańa,21.6
2020M06,Camping de 1Ş,TOTAL,7992.62
2020M06,Camping de 1Ş,Residentes en Espańa,7971.02
2020M06,Camping de 1Ş,No residentes en Espańa,21.6
2020M06,Camping de 2Ş y 3Ş,TOTAL,2027
2020M06,Camping de 2Ş y 3Ş,Residentes en Espańa,2027
2020M06,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M07,TOTAL,TOTAL,55209
2020M07,TOTAL,Residentes en Espańa,54626.83
2020M07,TOTAL,No residentes en Espańa,582.17
2020M07,Camping de 1Ş,TOTAL,39786
