Periodo,CCAA de residencia,Medida,DATA
2016M11,Cataluńa,Pernoctaciones,419.68
2016M11,Comunitat Valenciana,Viajeros,36.63
2016M11,Comunitat Valenciana,Pernoctaciones,74.89
2016M11,"Madrid, Comunidad de",Viajeros,197.55
2016M11,"Madrid, Comunidad de",Pernoctaciones,231.15
2016M11,"Navarra, Comunidad Foral de",Viajeros,281.48
2016M11,"Navarra, Comunidad Foral de",Pernoctaciones,475.8
2016M11,País Vasco,Viajeros,3261.16
2016M11,País Vasco,Pernoctaciones,7474.47
2016M11,"Rioja, La",Viajeros,292.16
2016M11,"Rioja, La",Pernoctaciones,484.22
2016M11,Ceuta,Viajeros,
2016M11,Ceuta,Pernoctaciones,
2016M11,Aragón,Viajeros,
2016M11,Aragón,Pernoctaciones,
2016M11,Castilla y León,Viajeros,14.65
2016M11,Castilla y León,Pernoctaciones,28.41
2016M11,"Asturias, Principado de",Viajeros,
2016M11,"Asturias, Principado de",Pernoctaciones,
2016M11,Cantabria,Viajeros,29.3
2016M11,Cantabria,Pernoctaciones,28.41
2016M11,Galicia,Viajeros,73.26
2016M11,Galicia,Pernoctaciones,106.54
2016M11,Castilla - La Mancha,Viajeros,14.65
2016M11,Castilla - La Mancha,Pernoctaciones,28.41
2016M11,Canarias,Viajeros,
2016M11,Canarias,Pernoctaciones,
2016M11,"Murcia, Región de",Viajeros,
2016M11,"Murcia, Región de",Pernoctaciones,
2016M11,Extremadura,Viajeros,
2016M11,Extremadura,Pernoctaciones,
2016M11,Melilla,Viajeros,
2016M11,Melilla,Pernoctaciones,
2016M12,TOTAL,Viajeros,4193
