Periodo,Categoría,Estancia media,DATA
2018M11,Camping de 1Ş,Estancia media No residentes en Espańa,1.86
2018M11,Camping de 2Ş y 3Ş,Estancia media,
2018M11,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2018M11,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2018M12,TOTAL,Estancia media,1.54
2018M12,TOTAL,Estancia media Residentes en Espańa,1.62
2018M12,TOTAL,Estancia media No residentes en Espańa,0.51
2018M12,Camping de 1Ş,Estancia media,1.53
2018M12,Camping de 1Ş,Estancia media Residentes en Espańa,1.6
2018M12,Camping de 1Ş,Estancia media No residentes en Espańa,0.51
2018M12,Camping de 2Ş y 3Ş,Estancia media,
2018M12,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2018M12,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2019M01,TOTAL,Estancia media,2.27
2019M01,TOTAL,Estancia media Residentes en Espańa,2.32
2019M01,TOTAL,Estancia media No residentes en Espańa,1.73
2019M01,Camping de 1Ş,Estancia media,2.31
2019M01,Camping de 1Ş,Estancia media Residentes en Espańa,2.37
2019M01,Camping de 1Ş,Estancia media No residentes en Espańa,1.73
2019M01,Camping de 2Ş y 3Ş,Estancia media,
2019M01,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2019M01,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2019M02,TOTAL,Estancia media,2.68
2019M02,TOTAL,Estancia media Residentes en Espańa,3.04
2019M02,TOTAL,Estancia media No residentes en Espańa,1.29
2019M02,Camping de 1Ş,Estancia media,3.08
2019M02,Camping de 1Ş,Estancia media Residentes en Espańa,3.47
2019M02,Camping de 1Ş,Estancia media No residentes en Espańa,0.86
2019M02,Camping de 2Ş y 3Ş,Estancia media,
2019M02,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2019M02,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2019M03,TOTAL,Estancia media,2.44
2019M03,TOTAL,Estancia media Residentes en Espańa,2.64
2019M03,TOTAL,Estancia media No residentes en Espańa,1.6
2019M03,Camping de 1Ş,Estancia media,2.67
2019M03,Camping de 1Ş,Estancia media Residentes en Espańa,2.81
2019M03,Camping de 1Ş,Estancia media No residentes en Espańa,1.38
2019M03,Camping de 2Ş y 3Ş,Estancia media,
2019M03,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2019M03,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2019M04,TOTAL,Estancia media,3.54
2019M04,TOTAL,Estancia media Residentes en Espańa,3.92
2019M04,TOTAL,Estancia media No residentes en Espańa,1.97
2019M04,Camping de 1Ş,Estancia media,3.81
2019M04,Camping de 1Ş,Estancia media Residentes en Espańa,4.01
2019M04,Camping de 1Ş,Estancia media No residentes en Espańa,1.24
2019M04,Camping de 2Ş y 3Ş,Estancia media,2.82
2019M04,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,3.47
2019M04,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.23
2019M05,TOTAL,Estancia media,2.08
2019M05,TOTAL,Estancia media Residentes en Espańa,2.21
2019M05,TOTAL,Estancia media No residentes en Espańa,1.78
2019M05,Camping de 1Ş,Estancia media,2.16
