Periodo,Categoría,Residencia viajero,DATA
2018M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2019M01,TOTAL,TOTAL,1704.87
2019M01,TOTAL,Residentes en Espańa,1639.51
2019M01,TOTAL,No residentes en Espańa,65.36
2019M01,1 Llave,TOTAL,1589.64
2019M01,1 Llave,Residentes en Espańa,1524.28
2019M01,1 Llave,No residentes en Espańa,65.36
2019M01,"2, 3 y 4 Llaves",TOTAL,115.23
2019M01,"2, 3 y 4 Llaves",Residentes en Espańa,115.23
2019M01,"2, 3 y 4 Llaves",No residentes en Espańa,
2019M02,TOTAL,TOTAL,2819.75
2019M02,TOTAL,Residentes en Espańa,2620.66
2019M02,TOTAL,No residentes en Espańa,199.09
2019M02,1 Llave,TOTAL,2403.49
2019M02,1 Llave,Residentes en Espańa,2308.46
2019M02,1 Llave,No residentes en Espańa,95.02
2019M02,"2, 3 y 4 Llaves",TOTAL,416.26
2019M02,"2, 3 y 4 Llaves",Residentes en Espańa,312.2
2019M02,"2, 3 y 4 Llaves",No residentes en Espańa,104.07
2019M03,TOTAL,TOTAL,2489.13
2019M03,TOTAL,Residentes en Espańa,2338.91
2019M03,TOTAL,No residentes en Espańa,150.21
2019M03,1 Llave,TOTAL,2176.52
2019M03,1 Llave,Residentes en Espańa,2078.12
2019M03,1 Llave,No residentes en Espańa,98.4
2019M03,"2, 3 y 4 Llaves",TOTAL,312.61
2019M03,"2, 3 y 4 Llaves",Residentes en Espańa,260.79
2019M03,"2, 3 y 4 Llaves",No residentes en Espańa,51.81
2019M04,TOTAL,TOTAL,4017.47
2019M04,TOTAL,Residentes en Espańa,3559.59
2019M04,TOTAL,No residentes en Espańa,457.87
2019M04,1 Llave,TOTAL,3636.53
2019M04,1 Llave,Residentes en Espańa,3247.35
2019M04,1 Llave,No residentes en Espańa,389.18
2019M04,"2, 3 y 4 Llaves",TOTAL,380.93
2019M04,"2, 3 y 4 Llaves",Residentes en Espańa,312.24
2019M04,"2, 3 y 4 Llaves",No residentes en Espańa,68.69
2019M05,TOTAL,TOTAL,3471.95
2019M05,TOTAL,Residentes en Espańa,2426.55
2019M05,TOTAL,No residentes en Espańa,1045.4
2019M05,1 Llave,TOTAL,3156.56
2019M05,1 Llave,Residentes en Espańa,2226.1
2019M05,1 Llave,No residentes en Espańa,930.46
2019M05,"2, 3 y 4 Llaves",TOTAL,315.39
2019M05,"2, 3 y 4 Llaves",Residentes en Espańa,200.45
2019M05,"2, 3 y 4 Llaves",No residentes en Espańa,114.94
2019M06,TOTAL,TOTAL,3625.3
2019M06,TOTAL,Residentes en Espańa,3149.96
2019M06,TOTAL,No residentes en Espańa,475.34
2019M06,1 Llave,TOTAL,3195.26
2019M06,1 Llave,Residentes en Espańa,2846.4
2019M06,1 Llave,No residentes en Espańa,348.86
2019M06,"2, 3 y 4 Llaves",TOTAL,430.05
2019M06,"2, 3 y 4 Llaves",Residentes en Espańa,303.56
2019M06,"2, 3 y 4 Llaves",No residentes en Espańa,126.48
2019M07,TOTAL,TOTAL,4407.67
2019M07,TOTAL,Residentes en Espańa,3561.04
2019M07,TOTAL,No residentes en Espańa,846.63
2019M07,1 Llave,TOTAL,3901.22
2019M07,1 Llave,Residentes en Espańa,3211.91
2019M07,1 Llave,No residentes en Espańa,689.31
2019M07,"2, 3 y 4 Llaves",TOTAL,506.46
2019M07,"2, 3 y 4 Llaves",Residentes en Espańa,349.13
2019M07,"2, 3 y 4 Llaves",No residentes en Espańa,157.32
2019M08,TOTAL,TOTAL,6389.48
2019M08,TOTAL,Residentes en Espańa,5772.68
2019M08,TOTAL,No residentes en Espańa,616.79
2019M08,1 Llave,TOTAL,5701.33
2019M08,1 Llave,Residentes en Espańa,5366.01
2019M08,1 Llave,No residentes en Espańa,335.32
2019M08,"2, 3 y 4 Llaves",TOTAL,688.15
2019M08,"2, 3 y 4 Llaves",Residentes en Espańa,406.67
2019M08,"2, 3 y 4 Llaves",No residentes en Espańa,281.47
2019M09,TOTAL,TOTAL,3897.01
2019M09,TOTAL,Residentes en Espańa,3096.9
2019M09,TOTAL,No residentes en Espańa,800.11
2019M09,1 Llave,TOTAL,3298.52
2019M09,1 Llave,Residentes en Espańa,2667.55
2019M09,1 Llave,No residentes en Espańa,630.97
2019M09,"2, 3 y 4 Llaves",TOTAL,598.49
2019M09,"2, 3 y 4 Llaves",Residentes en Espańa,429.35
2019M09,"2, 3 y 4 Llaves",No residentes en Espańa,169.14
2019M10,TOTAL,TOTAL,5405.31
2019M10,TOTAL,Residentes en Espańa,4770.15
2019M10,TOTAL,No residentes en Espańa,635.16
2019M10,1 Llave,TOTAL,4617.52
2019M10,1 Llave,Residentes en Espańa,4049.92
2019M10,1 Llave,No residentes en Espańa,567.6
2019M10,"2, 3 y 4 Llaves",TOTAL,787.79
2019M10,"2, 3 y 4 Llaves",Residentes en Espańa,720.23
2019M10,"2, 3 y 4 Llaves",No residentes en Espańa,67.56
2019M11,TOTAL,TOTAL,2767.41
2019M11,TOTAL,Residentes en Espańa,2724.48
2019M11,TOTAL,No residentes en Espańa,42.93
2019M11,1 Llave,TOTAL,2086.17
2019M11,1 Llave,Residentes en Espańa,2056.22
2019M11,1 Llave,No residentes en Espańa,29.95
2019M11,"2, 3 y 4 Llaves",TOTAL,681.25
2019M11,"2, 3 y 4 Llaves",Residentes en Espańa,668.27
2019M11,"2, 3 y 4 Llaves",No residentes en Espańa,12.98
2019M12,TOTAL,TOTAL,3512.44
2019M12,TOTAL,Residentes en Espańa,3420.73
2019M12,TOTAL,No residentes en Espańa,91.71
2019M12,1 Llave,TOTAL,3132.48
2019M12,1 Llave,Residentes en Espańa,3053.29
2019M12,1 Llave,No residentes en Espańa,79.18
2019M12,"2, 3 y 4 Llaves",TOTAL,379.96
2019M12,"2, 3 y 4 Llaves",Residentes en Espańa,367.44
2019M12,"2, 3 y 4 Llaves",No residentes en Espańa,12.53
2020M01,TOTAL,TOTAL,2284.56
2020M01,TOTAL,Residentes en Espańa,2174.12
2020M01,TOTAL,No residentes en Espańa,110.44
2020M01,1 Llave,TOTAL,1983.17
2020M01,1 Llave,Residentes en Espańa,1896.09
2020M01,1 Llave,No residentes en Espańa,87.07
2020M01,"2, 3 y 4 Llaves",TOTAL,301.39
2020M01,"2, 3 y 4 Llaves",Residentes en Espańa,278.03
2020M01,"2, 3 y 4 Llaves",No residentes en Espańa,23.36
2020M02,TOTAL,TOTAL,2814.28
2020M02,TOTAL,Residentes en Espańa,2674.44
2020M02,TOTAL,No residentes en Espańa,139.85
2020M02,1 Llave,TOTAL,2447.43
2020M02,1 Llave,Residentes en Espańa,2384.05
2020M02,1 Llave,No residentes en Espańa,63.38
2020M02,"2, 3 y 4 Llaves",TOTAL,366.86
2020M02,"2, 3 y 4 Llaves",Residentes en Espańa,290.39
2020M02,"2, 3 y 4 Llaves",No residentes en Espańa,76.47
2020M03,TOTAL,TOTAL,499.12
2020M03,TOTAL,Residentes en Espańa,369.21
2020M03,TOTAL,No residentes en Espańa,129.91
2020M03,1 Llave,TOTAL,464.94
2020M03,1 Llave,Residentes en Espańa,335.03
2020M03,1 Llave,No residentes en Espańa,129.91
2020M03,"2, 3 y 4 Llaves",TOTAL,34.19
2020M03,"2, 3 y 4 Llaves",Residentes en Espańa,34.19
2020M03,"2, 3 y 4 Llaves",No residentes en Espańa,
2020M05,TOTAL,TOTAL,101.04
2020M05,TOTAL,Residentes en Espańa,101.04
2020M05,TOTAL,No residentes en Espańa,
2020M05,1 Llave,TOTAL,101.04
2020M05,1 Llave,Residentes en Espańa,101.04
2020M05,1 Llave,No residentes en Espańa,
2020M05,"2, 3 y 4 Llaves",TOTAL,
2020M05,"2, 3 y 4 Llaves",Residentes en Espańa,
2020M05,"2, 3 y 4 Llaves",No residentes en Espańa,
2020M06,TOTAL,TOTAL,636.36
2020M06,TOTAL,Residentes en Espańa,636.36
2020M06,TOTAL,No residentes en Espańa,
2020M06,1 Llave,TOTAL,603.45
2020M06,1 Llave,Residentes en Espańa,603.45
2020M06,1 Llave,No residentes en Espańa,
2020M06,"2, 3 y 4 Llaves",TOTAL,32.92
2020M06,"2, 3 y 4 Llaves",Residentes en Espańa,32.92
2020M06,"2, 3 y 4 Llaves",No residentes en Espańa,
2020M07,TOTAL,TOTAL,2561.98
2020M07,TOTAL,Residentes en Espańa,2275.76
2020M07,TOTAL,No residentes en Espańa,286.22
2020M07,1 Llave,TOTAL,1717.55
2020M07,1 Llave,Residentes en Espańa,1530.46
2020M07,1 Llave,No residentes en Espańa,187.09
2020M07,"2, 3 y 4 Llaves",TOTAL,844.43
2020M07,"2, 3 y 4 Llaves",Residentes en Espańa,745.29
2020M07,"2, 3 y 4 Llaves",No residentes en Espańa,99.14
2020M08,TOTAL,TOTAL,4279.08
2020M08,TOTAL,Residentes en Espańa,4097.71
2020M08,TOTAL,No residentes en Espańa,181.37
2020M08,1 Llave,TOTAL,3701.05
2020M08,1 Llave,Residentes en Espańa,3519.68
2020M08,1 Llave,No residentes en Espańa,181.37
2020M08,"2, 3 y 4 Llaves",TOTAL,578.03
2020M08,"2, 3 y 4 Llaves",Residentes en Espańa,578.03
2020M08,"2, 3 y 4 Llaves",No residentes en Espańa,
2020M09,TOTAL,TOTAL,1514.6
2020M09,TOTAL,Residentes en Espańa,1456.65
2020M09,TOTAL,No residentes en Espańa,57.95
2020M09,1 Llave,TOTAL,1282.8
2020M09,1 Llave,Residentes en Espańa,1224.85
