Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T2,3455
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T3,3416
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T4,3385
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T1,3357
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T2,3431
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T3,3409
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T4,3342
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T1,3385
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T2,3448
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T3,3417
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T4,3362
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T1,3348
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T2,3424
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T3,3383
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T4,3354
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T1,3251
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T2,3276
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T3,3265
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T4,3214
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T1,3211
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T2,3247
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T3,3253
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T4,3233
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2011T2,3291
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2011T3,3301
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2011T4,3289
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T1,3292
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T2,3343
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T3,3371
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T4,3333
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T1,3315
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T2,4468
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T3,3374
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T4,3351
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T1,3369
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T2,3446
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T3,3432
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T4,3357
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2015T1,3343
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2015T2,3428
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2015T3,3408
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2015T4,3364
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2016T1,3371
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2016T2,3455
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2016T3,3416
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2016T4,3385
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2017T1,3357
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2017T2,3431
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2017T3,3409
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2017T4,3342
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2018T1,3385
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2018T2,3448
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2018T3,3417
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2018T4,3362
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2019T1,3348
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2019T2,3424
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2019T3,3383
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2019T4,3354
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2020T1,3251
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2020T2,3276
