Grupo actividad sector turístico,Tipo de contrato,Periodo,DATA
SECTOR TURÍSTICOS,Sin especificar,2016T1,3392
SECTOR TURÍSTICOS,Sin especificar,2016T2,3480
SECTOR TURÍSTICOS,Sin especificar,2016T3,3433
SECTOR TURÍSTICOS,Sin especificar,2016T4,3399
SECTOR TURÍSTICOS,Sin especificar,2017T1,3370
SECTOR TURÍSTICOS,Sin especificar,2017T2,3451
SECTOR TURÍSTICOS,Sin especificar,2017T3,3422
SECTOR TURÍSTICOS,Sin especificar,2017T4,3358
SECTOR TURÍSTICOS,Sin especificar,2018T1,3404
SECTOR TURÍSTICOS,Sin especificar,2018T2,3462
SECTOR TURÍSTICOS,Sin especificar,2018T3,3430
SECTOR TURÍSTICOS,Sin especificar,2018T4,3375
SECTOR TURÍSTICOS,Sin especificar,2019T1,3363
SECTOR TURÍSTICOS,Sin especificar,2019T2,3438
SECTOR TURÍSTICOS,Sin especificar,2019T3,3396
SECTOR TURÍSTICOS,Sin especificar,2019T4,3369
SECTOR TURÍSTICOS,Sin especificar,2020T1,3261
SECTOR TURÍSTICOS,Sin especificar,2020T2,3286
SECTOR TURÍSTICOS,Sin especificar,2020T3,3276
SECTOR TURÍSTICOS,Sin especificar,2020T4,3222
SECTOR TURÍSTICOS,Sin especificar,2021T1,3219
SECTOR TURÍSTICOS,Sin especificar,2021T2,3258
SECTOR TURÍSTICOS,Sin especificar,2021T3,3262
SECTOR TURÍSTICOS,Sin especificar,2021T4,3245
55 Servicios de alojamiento,TOTAL,2011T2,1149
55 Servicios de alojamiento,TOTAL,2011T3,1125
55 Servicios de alojamiento,TOTAL,2011T4,1037
55 Servicios de alojamiento,TOTAL,2012T1,1034
55 Servicios de alojamiento,TOTAL,2012T2,1112
55 Servicios de alojamiento,TOTAL,2012T3,1109
55 Servicios de alojamiento,TOTAL,2012T4,988
55 Servicios de alojamiento,TOTAL,2013T1,1005
55 Servicios de alojamiento,TOTAL,2013T2,1175
55 Servicios de alojamiento,TOTAL,2013T3,1081
55 Servicios de alojamiento,TOTAL,2013T4,990
55 Servicios de alojamiento,TOTAL,2014T1,970
55 Servicios de alojamiento,TOTAL,2014T2,1160
55 Servicios de alojamiento,TOTAL,2014T3,1120
55 Servicios de alojamiento,TOTAL,2014T4,1009
55 Servicios de alojamiento,TOTAL,2015T1,1016
55 Servicios de alojamiento,TOTAL,2015T2,1142
55 Servicios de alojamiento,TOTAL,2015T3,1162
55 Servicios de alojamiento,TOTAL,2015T4,1036
55 Servicios de alojamiento,TOTAL,2016T1,1070
55 Servicios de alojamiento,TOTAL,2016T2,1158
55 Servicios de alojamiento,TOTAL,2016T3,1162
55 Servicios de alojamiento,TOTAL,2016T4,1075
55 Servicios de alojamiento,TOTAL,2017T1,1072
55 Servicios de alojamiento,TOTAL,2017T2,1259
55 Servicios de alojamiento,TOTAL,2017T3,1272
55 Servicios de alojamiento,TOTAL,2017T4,1112
55 Servicios de alojamiento,TOTAL,2018T1,1170
55 Servicios de alojamiento,TOTAL,2018T2,1262
55 Servicios de alojamiento,TOTAL,2018T3,1278
55 Servicios de alojamiento,TOTAL,2018T4,1208
55 Servicios de alojamiento,TOTAL,2019T1,1203
55 Servicios de alojamiento,TOTAL,2019T2,1378
55 Servicios de alojamiento,TOTAL,2019T3,1295
55 Servicios de alojamiento,TOTAL,2019T4,1206
55 Servicios de alojamiento,TOTAL,2020T1,1106
55 Servicios de alojamiento,TOTAL,2020T2,1135
55 Servicios de alojamiento,TOTAL,2020T3,1128
55 Servicios de alojamiento,TOTAL,2020T4,1034
55 Servicios de alojamiento,TOTAL,2021T1,1006
55 Servicios de alojamiento,TOTAL,2021T2,1107
55 Servicios de alojamiento,TOTAL,2021T3,1128
55 Servicios de alojamiento,TOTAL,2021T4,1161
55 Servicios de alojamiento,Indefinido,2011T2,762
55 Servicios de alojamiento,Indefinido,2011T3,753
55 Servicios de alojamiento,Indefinido,2011T4,750
55 Servicios de alojamiento,Indefinido,2012T1,742
55 Servicios de alojamiento,Indefinido,2012T2,746
55 Servicios de alojamiento,Indefinido,2012T3,742
55 Servicios de alojamiento,Indefinido,2012T4,713
55 Servicios de alojamiento,Indefinido,2013T1,703
55 Servicios de alojamiento,Indefinido,2013T2,726
55 Servicios de alojamiento,Indefinido,2013T3,695
55 Servicios de alojamiento,Indefinido,2013T4,688
55 Servicios de alojamiento,Indefinido,2014T1,685
55 Servicios de alojamiento,Indefinido,2014T2,713
55 Servicios de alojamiento,Indefinido,2014T3,714
55 Servicios de alojamiento,Indefinido,2014T4,702
55 Servicios de alojamiento,Indefinido,2015T1,706
55 Servicios de alojamiento,Indefinido,2015T2,713
55 Servicios de alojamiento,Indefinido,2015T3,707
55 Servicios de alojamiento,Indefinido,2015T4,686
55 Servicios de alojamiento,Indefinido,2016T1,706
55 Servicios de alojamiento,Indefinido,2016T2,700
55 Servicios de alojamiento,Indefinido,2016T3,705
55 Servicios de alojamiento,Indefinido,2016T4,703
55 Servicios de alojamiento,Indefinido,2017T1,712
55 Servicios de alojamiento,Indefinido,2017T2,728
55 Servicios de alojamiento,Indefinido,2017T3,737
55 Servicios de alojamiento,Indefinido,2017T4,719
55 Servicios de alojamiento,Indefinido,2018T1,720
55 Servicios de alojamiento,Indefinido,2018T2,737
55 Servicios de alojamiento,Indefinido,2018T3,748
55 Servicios de alojamiento,Indefinido,2018T4,776
55 Servicios de alojamiento,Indefinido,2019T1,772
55 Servicios de alojamiento,Indefinido,2019T2,771
55 Servicios de alojamiento,Indefinido,2019T3,727
55 Servicios de alojamiento,Indefinido,2019T4,752
55 Servicios de alojamiento,Indefinido,2020T1,772
55 Servicios de alojamiento,Indefinido,2020T2,781
55 Servicios de alojamiento,Indefinido,2020T3,772
55 Servicios de alojamiento,Indefinido,2020T4,738
55 Servicios de alojamiento,Indefinido,2021T1,738
55 Servicios de alojamiento,Indefinido,2021T2,738
55 Servicios de alojamiento,Indefinido,2021T3,722
55 Servicios de alojamiento,Indefinido,2021T4,720
55 Servicios de alojamiento,Temporal,2011T2,236
55 Servicios de alojamiento,Temporal,2011T3,220
55 Servicios de alojamiento,Temporal,2011T4,140
55 Servicios de alojamiento,Temporal,2012T1,144
55 Servicios de alojamiento,Temporal,2012T2,214
55 Servicios de alojamiento,Temporal,2012T3,219
55 Servicios de alojamiento,Temporal,2012T4,135
55 Servicios de alojamiento,Temporal,2013T1,159
55 Servicios de alojamiento,Temporal,2013T2,251
55 Servicios de alojamiento,Temporal,2013T3,235
55 Servicios de alojamiento,Temporal,2013T4,155
55 Servicios de alojamiento,Temporal,2014T1,141
55 Servicios de alojamiento,Temporal,2014T2,289
55 Servicios de alojamiento,Temporal,2014T3,249
55 Servicios de alojamiento,Temporal,2014T4,147
55 Servicios de alojamiento,Temporal,2015T1,155
55 Servicios de alojamiento,Temporal,2015T2,263
55 Servicios de alojamiento,Temporal,2015T3,282
55 Servicios de alojamiento,Temporal,2015T4,181
55 Servicios de alojamiento,Temporal,2016T1,188
55 Servicios de alojamiento,Temporal,2016T2,269
55 Servicios de alojamiento,Temporal,2016T3,269
55 Servicios de alojamiento,Temporal,2016T4,190
55 Servicios de alojamiento,Temporal,2017T1,181
55 Servicios de alojamiento,Temporal,2017T2,335
55 Servicios de alojamiento,Temporal,2017T3,341
55 Servicios de alojamiento,Temporal,2017T4,210
55 Servicios de alojamiento,Temporal,2018T1,267
55 Servicios de alojamiento,Temporal,2018T2,334
55 Servicios de alojamiento,Temporal,2018T3,336
55 Servicios de alojamiento,Temporal,2018T4,242
55 Servicios de alojamiento,Temporal,2019T1,235
55 Servicios de alojamiento,Temporal,2019T2,403
55 Servicios de alojamiento,Temporal,2019T3,364
55 Servicios de alojamiento,Temporal,2019T4,253
55 Servicios de alojamiento,Temporal,2020T1,141
55 Servicios de alojamiento,Temporal,2020T2,152
