Periodo,Tarifa,Variable,DATA
2022M02,Fin de semana,Índice,115.77
2022M02,Fin de semana,Var (%) anual,0.48
2022M03,TOTAL,Índice,142.9
2022M03,TOTAL,Var (%) anual,-0.97
2022M03,Normal,Índice,137.53
2022M03,Normal,Var (%) anual,-0.79
2022M03,Fin de semana,Índice,105.72
2022M03,Fin de semana,Var (%) anual,-1.16
2022M04,TOTAL,Índice,126.69
2022M04,TOTAL,Var (%) anual,3.01
2022M04,Normal,Índice,133.88
2022M04,Normal,Var (%) anual,4.41
2022M04,Fin de semana,Índice,103.82
2022M04,Fin de semana,Var (%) anual,1.77
2022M05,TOTAL,Índice,141.75
2022M05,TOTAL,Var (%) anual,3.29
2022M05,Normal,Índice,143.82
2022M05,Normal,Var (%) anual,5.1
2022M05,Fin de semana,Índice,106.23
2022M05,Fin de semana,Var (%) anual,-1.03
2022M06,TOTAL,Índice,109.73
2022M06,TOTAL,Var (%) anual,-1.57
2022M06,Normal,Índice,113.94
2022M06,Normal,Var (%) anual,-2.91
2022M06,Fin de semana,Índice,90.24
2022M06,Fin de semana,Var (%) anual,-0.2
2022M07,TOTAL,Índice,121.67
2022M07,TOTAL,Var (%) anual,-2.05
2022M07,Normal,Índice,120.6
2022M07,Normal,Var (%) anual,-3.14
2022M07,Fin de semana,Índice,113.19
2022M07,Fin de semana,Var (%) anual,-0.34
2022M08,TOTAL,Índice,116.84
2022M08,TOTAL,Var (%) anual,-5.44
2022M08,Normal,Índice,113.47
2022M08,Normal,Var (%) anual,-6.38
2022M08,Fin de semana,Índice,115.56
2022M08,Fin de semana,Var (%) anual,-2.8
2022M09,TOTAL,Índice,140.05
2022M09,TOTAL,Var (%) anual,0.42
2022M09,Normal,Índice,132.68
2022M09,Normal,Var (%) anual,-0.98
2022M09,Fin de semana,Índice,97.56
2022M09,Fin de semana,Var (%) anual,1.8
2022M10,TOTAL,Índice,122.14
2022M10,TOTAL,Var (%) anual,-0.4
2022M10,Normal,Índice,120.16
2022M10,Normal,Var (%) anual,-1.78
2022M10,Fin de semana,Índice,118.96
2022M10,Fin de semana,Var (%) anual,0.58
2022M11,TOTAL,Índice,122.27
2022M11,TOTAL,Var (%) anual,-0.76
2022M11,Normal,Índice,123.55
2022M11,Normal,Var (%) anual,-1.11
2022M11,Fin de semana,Índice,141.76
2022M11,Fin de semana,Var (%) anual,-0.29
2022M12,TOTAL,Índice,116.21
2022M12,TOTAL,Var (%) anual,-5.57
2022M12,Normal,Índice,112.46
2022M12,Normal,Var (%) anual,-7.2
2022M12,Fin de semana,Índice,90.39
2022M12,Fin de semana,Var (%) anual,-2.96
2023M01,TOTAL,Índice,122.93
2023M01,TOTAL,Var (%) anual,-1.33
2023M01,Normal,Índice,97.72
2023M01,Normal,Var (%) anual,-3.92
2023M01,Fin de semana,Índice,109.07
2023M01,Fin de semana,Var (%) anual,1.77
2023M02,TOTAL,Índice,149.9
2023M02,TOTAL,Var (%) anual,4.61
2023M02,Normal,Índice,136.65
2023M02,Normal,Var (%) anual,3.96
2023M02,Fin de semana,Índice,121.63
2023M02,Fin de semana,Var (%) anual,5.06
2023M03,TOTAL,Índice,152.71
2023M03,TOTAL,Var (%) anual,6.86
2023M03,Normal,Índice,145.54
2023M03,Normal,Var (%) anual,5.83
2023M03,Fin de semana,Índice,114.15
2023M03,Fin de semana,Var (%) anual,7.98
2023M04,TOTAL,Índice,135.3
2023M04,TOTAL,Var (%) anual,6.79
2023M04,Normal,Índice,140.52
2023M04,Normal,Var (%) anual,4.96
2023M04,Fin de semana,Índice,112.61
2023M04,Fin de semana,Var (%) anual,8.47
2023M05,TOTAL,Índice,151.87
2023M05,TOTAL,Var (%) anual,7.14
2023M05,Normal,Índice,151.2
2023M05,Normal,Var (%) anual,5.13
2023M05,Fin de semana,Índice,115.15
2023M05,Fin de semana,Var (%) anual,8.39
2023M06,TOTAL,Índice,119.77
2023M06,TOTAL,Var (%) anual,9.15
2023M06,Normal,Índice,124.7
2023M06,Normal,Var (%) anual,9.45
2023M06,Fin de semana,Índice,98.24
2023M06,Fin de semana,Var (%) anual,8.86
2023M07,TOTAL,Índice,133.34
2023M07,TOTAL,Var (%) anual,9.59
2023M07,Normal,Índice,130.4
2023M07,Normal,Var (%) anual,8.12
2023M07,Fin de semana,Índice,126.82
2023M07,Fin de semana,Var (%) anual,12.05
2023M08,TOTAL,Índice,125.98
2023M08,TOTAL,Var (%) anual,7.82
2023M08,Normal,Índice,124.68
2023M08,Normal,Var (%) anual,9.88
2023M08,Fin de semana,Índice,119.91
2023M08,Fin de semana,Var (%) anual,3.77
2023M09,TOTAL,Índice,146.28
2023M09,TOTAL,Var (%) anual,4.45
2023M09,Normal,Índice,138.33
2023M09,Normal,Var (%) anual,4.26
2023M09,Fin de semana,Índice,102.05
2023M09,Fin de semana,Var (%) anual,4.61
2023M10,TOTAL,Índice,129.66
