Periodo,CCAA de residencia,Medida,DATA
2016M06,Extremadura,Viajeros,
2016M06,Extremadura,Pernoctaciones,
2016M06,Galicia,Viajeros,15.32
2016M06,Galicia,Pernoctaciones,18.39
2016M06,"Madrid, Comunidad de",Viajeros,407.56
2016M06,"Madrid, Comunidad de",Pernoctaciones,1084.78
2016M06,"Murcia, Región de",Viajeros,9.19
2016M06,"Murcia, Región de",Pernoctaciones,9.19
2016M06,"Navarra, Comunidad Foral de",Viajeros,85.8
2016M06,"Navarra, Comunidad Foral de",Pernoctaciones,165.48
2016M06,País Vasco,Viajeros,714
2016M06,País Vasco,Pernoctaciones,1256.39
2016M06,"Rioja, La",Viajeros,214.5
2016M06,"Rioja, La",Pernoctaciones,373.85
2016M06,Canarias,Viajeros,
2016M06,Canarias,Pernoctaciones,
2016M06,Ceuta,Viajeros,
2016M06,Ceuta,Pernoctaciones,
2016M06,Melilla,Viajeros,
2016M06,Melilla,Pernoctaciones,
2016M07,TOTAL,Viajeros,3054.28
2016M07,TOTAL,Pernoctaciones,6686.83
2016M07,NO RESIDENTE EN ESPAŃA,Viajeros,456.11
2016M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,942.07
2016M07,RESIDENTES EN ESPAŃA,Viajeros,2598.17
2016M07,RESIDENTES EN ESPAŃA,Pernoctaciones,5744.75
2016M07,Andalucía,Viajeros,65.16
2016M07,Andalucía,Pernoctaciones,228.05
2016M07,Aragón,Viajeros,181.9
2016M07,Aragón,Pernoctaciones,415.38
2016M07,"Asturias, Principado de",Viajeros,51.58
2016M07,"Asturias, Principado de",Pernoctaciones,130.32
2016M07,"Balears, Illes",Viajeros,16.29
2016M07,"Balears, Illes",Pernoctaciones,48.87
2016M07,Cantabria,Viajeros,21.72
2016M07,Cantabria,Pernoctaciones,38.01
2016M07,Castilla y León,Viajeros,65.16
2016M07,Castilla y León,Pernoctaciones,135.75
2016M07,Castilla - La Mancha,Viajeros,13.57
2016M07,Castilla - La Mancha,Pernoctaciones,13.57
2016M07,Cataluńa,Viajeros,374.66
2016M07,Cataluńa,Pernoctaciones,765.61
2016M07,Comunitat Valenciana,Viajeros,149.32
2016M07,Comunitat Valenciana,Pernoctaciones,616.29
2016M07,Extremadura,Viajeros,
2016M07,Extremadura,Pernoctaciones,
2016M07,Galicia,Viajeros,35.29
2016M07,Galicia,Pernoctaciones,100.45
2016M07,"Madrid, Comunidad de",Viajeros,567.42
2016M07,"Madrid, Comunidad de",Pernoctaciones,1219
2016M07,"Murcia, Región de",Viajeros,21.72
2016M07,"Murcia, Región de",Pernoctaciones,43.44
2016M07,"Navarra, Comunidad Foral de",Viajeros,81.45
2016M07,"Navarra, Comunidad Foral de",Pernoctaciones,146.61
2016M07,País Vasco,Viajeros,711.31
2016M07,País Vasco,Pernoctaciones,1362.89
2016M07,"Rioja, La",Viajeros,236.2
2016M07,"Rioja, La",Pernoctaciones,469.68
2016M07,Canarias,Viajeros,5.43
2016M07,Canarias,Pernoctaciones,10.86
2016M07,Ceuta,Viajeros,
2016M07,Ceuta,Pernoctaciones,
2016M07,Melilla,Viajeros,
2016M07,Melilla,Pernoctaciones,
2016M08,TOTAL,Viajeros,4617.9
2016M08,TOTAL,Pernoctaciones,13167.35
2016M08,NO RESIDENTE EN ESPAŃA,Viajeros,473.96
2016M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,986.77
2016M08,RESIDENTES EN ESPAŃA,Viajeros,4143.93
2016M08,RESIDENTES EN ESPAŃA,Pernoctaciones,12180.57
2016M08,Andalucía,Viajeros,259
2016M08,Andalucía,Pernoctaciones,966.05
2016M08,Aragón,Viajeros,209.79
2016M08,Aragón,Pernoctaciones,644.9
2016M08,"Asturias, Principado de",Viajeros,77.7
2016M08,"Asturias, Principado de",Pernoctaciones,290.08
2016M08,"Balears, Illes",Viajeros,10.36
2016M08,"Balears, Illes",Pernoctaciones,46.62
2016M08,Cantabria,Viajeros,54.39
2016M08,Cantabria,Pernoctaciones,98.42
2016M08,Castilla y León,Viajeros,168.35
2016M08,Castilla y León,Pernoctaciones,437.7
2016M08,Castilla - La Mancha,Viajeros,44.03
2016M08,Castilla - La Mancha,Pernoctaciones,113.96
2016M08,Cataluńa,Viajeros,898.72
2016M08,Cataluńa,Pernoctaciones,2059.02
2016M08,Comunitat Valenciana,Viajeros,292.67
2016M08,Comunitat Valenciana,Pernoctaciones,981.59
2016M08,Extremadura,Viajeros,
2016M08,Extremadura,Pernoctaciones,
2016M08,Galicia,Viajeros,121.73
2016M08,Galicia,Pernoctaciones,303.03
2016M08,"Madrid, Comunidad de",Viajeros,1017.85
2016M08,"Madrid, Comunidad de",Pernoctaciones,3638.89
2016M08,"Murcia, Región de",Viajeros,41.44
2016M08,"Murcia, Región de",Pernoctaciones,98.42
2016M08,"Navarra, Comunidad Foral de",Viajeros,103.6
2016M08,"Navarra, Comunidad Foral de",Pernoctaciones,243.46
2016M08,País Vasco,Viajeros,637.13
2016M08,País Vasco,Pernoctaciones,1828.51
2016M08,"Rioja, La",Viajeros,163.17
2016M08,"Rioja, La",Pernoctaciones,336.69
2016M08,Canarias,Viajeros,41.44
2016M08,Canarias,Pernoctaciones,90.65
2016M08,Ceuta,Viajeros,2.59
2016M08,Ceuta,Pernoctaciones,2.59
2016M08,Melilla,Viajeros,
2016M08,Melilla,Pernoctaciones,
2016M09,TOTAL,Viajeros,3065.76
2016M09,TOTAL,Pernoctaciones,5949.34
2016M09,NO RESIDENTE EN ESPAŃA,Viajeros,445.03
2016M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,811.98
2016M09,RESIDENTES EN ESPAŃA,Viajeros,2620.73
2016M09,RESIDENTES EN ESPAŃA,Pernoctaciones,5137.36
2016M09,Andalucía,Viajeros,57.26
2016M09,Andalucía,Pernoctaciones,124.92
2016M09,Aragón,Viajeros,145.74
2016M09,Aragón,Pernoctaciones,252.44
2016M09,"Asturias, Principado de",Viajeros,36.44
2016M09,"Asturias, Principado de",Pernoctaciones,93.69
2016M09,"Balears, Illes",Viajeros,20.82
2016M09,"Balears, Illes",Pernoctaciones,52.05
2016M09,Cantabria,Viajeros,57.26
2016M09,Cantabria,Pernoctaciones,114.51
2016M09,Castilla y León,Viajeros,135.33
2016M09,Castilla y León,Pernoctaciones,208.2
2016M09,Castilla - La Mancha,Viajeros,78.08
