Periodo,Categoría,Residencia viajero,DATA,Fecha
2016M06,1 y 2 estrellas,Residentes en Espańa,209945,2016-06-01
2016M06,1 y 2 estrellas,No residentes en Espańa,40441,2016-06-01
2016M06,Hostales y pensiones,TOTAL,638818,2016-06-01
2016M06,Hostales y pensiones,Residentes en Espańa,436654,2016-06-01
2016M06,Hostales y pensiones,No residentes en Espańa,202164,2016-06-01
2016M07,TOTAL,TOTAL,5700515,2016-07-01
2016M07,TOTAL,Residentes en Espańa,4342105,2016-07-01
2016M07,TOTAL,No residentes en Espańa,135841,2016-07-01
2016M07,4 y 5 estrellas,TOTAL,14897,2016-07-01
2016M07,4 y 5 estrellas,Residentes en Espańa,1160014,2016-07-01
2016M07,4 y 5 estrellas,No residentes en Espańa,329686,2016-07-01
2016M07,3 estrellas,TOTAL,309727,2016-07-01
2016M07,3 estrellas,Residentes en Espańa,230666,2016-07-01
2016M07,3 estrellas,No residentes en Espańa,790609,2016-07-01
2016M07,1 y 2 estrellas,TOTAL,293171,2016-07-01
2016M07,1 y 2 estrellas,Residentes en Espańa,248443,2016-07-01
2016M07,1 y 2 estrellas,No residentes en Espańa,44729,2016-07-01
2016M07,Hostales y pensiones,TOTAL,820373,2016-07-01
2016M07,Hostales y pensiones,Residentes en Espańa,626988,2016-07-01
2016M07,Hostales y pensiones,No residentes en Espańa,193385,2016-07-01
2016M08,TOTAL,TOTAL,6832108,2016-08-01
2016M08,TOTAL,Residentes en Espańa,5653096,2016-08-01
2016M08,TOTAL,No residentes en Espańa,1179012,2016-08-01
2016M08,4 y 5 estrellas,TOTAL,17420,2016-08-01
2016M08,4 y 5 estrellas,Residentes en Espańa,1464076,2016-08-01
2016M08,4 y 5 estrellas,No residentes en Espańa,277924,2016-08-01
2016M08,3 estrellas,TOTAL,36569,2016-08-01
2016M08,3 estrellas,Residentes en Espańa,3017129,2016-08-01
2016M08,3 estrellas,No residentes en Espańa,639771,2016-08-01
2016M08,1 y 2 estrellas,TOTAL,396357,2016-08-01
2016M08,1 y 2 estrellas,Residentes en Espańa,361814,2016-08-01
2016M08,1 y 2 estrellas,No residentes en Espańa,34543,2016-08-01
2016M08,Hostales y pensiones,TOTAL,103685,2016-08-01
2016M08,Hostales y pensiones,Residentes en Espańa,810076,2016-08-01
2016M08,Hostales y pensiones,No residentes en Espańa,226774,2016-08-01
2016M09,TOTAL,TOTAL,6152225,2016-09-01
2016M09,TOTAL,Residentes en Espańa,4174425,2016-09-01
2016M09,TOTAL,No residentes en Espańa,19778,2016-09-01
2016M09,4 y 5 estrellas,TOTAL,14664,2016-09-01
2016M09,4 y 5 estrellas,Residentes en Espańa,1040407,2016-09-01
2016M09,4 y 5 estrellas,No residentes en Espańa,425993,2016-09-01
2016M09,3 estrellas,TOTAL,31825,2016-09-01
2016M09,3 estrellas,Residentes en Espańa,2155836,2016-09-01
2016M09,3 estrellas,No residentes en Espańa,1026664,2016-09-01
2016M09,1 y 2 estrellas,TOTAL,355714,2016-09-01
2016M09,1 y 2 estrellas,Residentes en Espańa,274286,2016-09-01
2016M09,1 y 2 estrellas,No residentes en Espańa,81429,2016-09-01
2016M09,Hostales y pensiones,TOTAL,1147611,2016-09-01
2016M09,Hostales y pensiones,Residentes en Espańa,703897,2016-09-01
2016M09,Hostales y pensiones,No residentes en Espańa,443714,2016-09-01
2016M10,TOTAL,TOTAL,569521,2016-10-01
2016M10,TOTAL,Residentes en Espańa,4538833,2016-10-01
2016M10,TOTAL,No residentes en Espańa,1156376,2016-10-01
2016M10,4 y 5 estrellas,TOTAL,14664,2016-10-01
2016M10,4 y 5 estrellas,Residentes en Espańa,1151866,2016-10-01
2016M10,4 y 5 estrellas,No residentes en Espańa,314534,2016-10-01
2016M10,3 estrellas,TOTAL,29046,2016-10-01
2016M10,3 estrellas,Residentes en Espańa,232224,2016-10-01
2016M10,3 estrellas,No residentes en Espańa,58236,2016-10-01
2016M10,1 y 2 estrellas,TOTAL,290071,2016-10-01
2016M10,1 y 2 estrellas,Residentes en Espańa,232943,2016-10-01
2016M10,1 y 2 estrellas,No residentes en Espańa,57129,2016-10-01
2016M10,Hostales y pensiones,TOTAL,1034138,2016-10-01
2016M10,Hostales y pensiones,Residentes en Espańa,831785,2016-10-01
2016M10,Hostales y pensiones,No residentes en Espańa,202353,2016-10-01
2016M11,TOTAL,TOTAL,4032282,2016-11-01
2016M11,TOTAL,Residentes en Espańa,357398,2016-11-01
2016M11,TOTAL,No residentes en Espańa,458302,2016-11-01
2016M11,4 y 5 estrellas,TOTAL,11704,2016-11-01
2016M11,4 y 5 estrellas,Residentes en Espańa,1002913,2016-11-01
2016M11,4 y 5 estrellas,No residentes en Espańa,167487,2016-11-01
2016M11,3 estrellas,TOTAL,21055,2016-11-01
2016M11,3 estrellas,Residentes en Espańa,1851224,2016-11-01
2016M11,3 estrellas,No residentes en Espańa,254276,2016-11-01
2016M11,1 y 2 estrellas,TOTAL,181286,2016-11-01
2016M11,1 y 2 estrellas,Residentes en Espańa,173571,2016-11-01
2016M11,1 y 2 estrellas,No residentes en Espańa,7714,2016-11-01
2016M11,Hostales y pensiones,TOTAL,575096,2016-11-01
2016M11,Hostales y pensiones,Residentes en Espańa,546272,2016-11-01
2016M11,Hostales y pensiones,No residentes en Espańa,28824,2016-11-01
2016M12,TOTAL,TOTAL,3804951,2016-12-01
2016M12,TOTAL,Residentes en Espańa,3508548,2016-12-01
2016M12,TOTAL,No residentes en Espańa,296403,2016-12-01
2016M12,4 y 5 estrellas,TOTAL,11686,2016-12-01
2016M12,4 y 5 estrellas,Residentes en Espańa,1070431,2016-12-01
2016M12,4 y 5 estrellas,No residentes en Espańa,98169,2016-12-01
2016M12,3 estrellas,TOTAL,18358,2016-12-01
2016M12,3 estrellas,Residentes en Espańa,1670413,2016-12-01
2016M12,3 estrellas,No residentes en Espańa,165387,2016-12-01
2016M12,1 y 2 estrellas,TOTAL,101972,2016-12-01
2016M12,1 y 2 estrellas,Residentes en Espańa,99465,2016-12-01
2016M12,1 y 2 estrellas,No residentes en Espańa,2507,2016-12-01
2016M12,Hostales y pensiones,TOTAL,698579,2016-12-01
2016M12,Hostales y pensiones,Residentes en Espańa,668239,2016-12-01
2016M12,Hostales y pensiones,No residentes en Espańa,3034,2016-12-01
2017M01,TOTAL,TOTAL,2721276,2017-01-01
2017M01,TOTAL,Residentes en Espańa,2436836,2017-01-01
2017M01,TOTAL,No residentes en Espańa,28444,2017-01-01
