Periodo,Tipo de establecimiento,CCAA,DATA
2004M01,Turismo Rural,La Rioja,225.0
2004M01,Turismo Rural,Espańa,293.0
2004M01,Apartamentos,La Rioja,265.0
2004M01,Apartamentos,Espańa,9.0
2004M02,Hoteles,La Rioja,192.0
2004M02,Hoteles,Espańa,309.0
2004M02,Camping,La Rioja,256.0
2004M02,Camping,Espańa,688.0
2004M02,Turismo Rural,La Rioja,201.0
2004M02,Turismo Rural,Espańa,226.0
2004M02,Apartamentos,La Rioja,211.0
2004M02,Apartamentos,Espańa,837.0
2004M03,Hoteles,La Rioja,181.0
2004M03,Hoteles,Espańa,311.0
2004M03,Camping,La Rioja,27.0
2004M03,Camping,Espańa,53.0
2004M03,Turismo Rural,La Rioja,205.0
2004M03,Turismo Rural,Espańa,244.0
2004M03,Apartamentos,La Rioja,232.0
2004M03,Apartamentos,Espańa,859.0
2004M04,Hoteles,La Rioja,199.0
2004M04,Hoteles,Espańa,314.0
2004M04,Camping,La Rioja,324.0
2004M04,Camping,Espańa,356.0
2004M04,Turismo Rural,La Rioja,298.0
2004M04,Turismo Rural,Espańa,29.0
2004M04,Apartamentos,La Rioja,249.0
2004M04,Apartamentos,Espańa,75.0
2004M05,Hoteles,La Rioja,172.0
2004M05,Hoteles,Espańa,332.0
2004M05,Camping,La Rioja,245.0
2004M05,Camping,Espańa,346.0
2004M05,Turismo Rural,La Rioja,225.0
2004M05,Turismo Rural,Espańa,241.0
2004M05,Apartamentos,La Rioja,161.0
2004M05,Apartamentos,Espańa,769.0
2004M06,Hoteles,La Rioja,176.0
2004M06,Hoteles,Espańa,364.0
2004M06,Camping,La Rioja,25.0
2004M06,Camping,Espańa,364.0
2004M06,Turismo Rural,La Rioja,236.0
2004M06,Turismo Rural,Espańa,264.0
2004M06,Apartamentos,La Rioja,211.0
2004M06,Apartamentos,Espańa,854.0
2004M07,Hoteles,La Rioja,189.0
2004M07,Hoteles,Espańa,403.0
2004M07,Camping,La Rioja,305.0
2004M07,Camping,Espańa,467.0
2004M07,Turismo Rural,La Rioja,221.0
2004M07,Turismo Rural,Espańa,382.0
2004M07,Apartamentos,La Rioja,317.0
2004M07,Apartamentos,Espańa,923.0
2004M08,Hoteles,La Rioja,198.0
2004M08,Hoteles,Espańa,422.0
2004M08,Camping,La Rioja,4.0
2004M08,Camping,Espańa,495.0
2004M08,Turismo Rural,La Rioja,391.0
2004M08,Turismo Rural,Espańa,51.0
2004M08,Apartamentos,La Rioja,43.0
2004M08,Apartamentos,Espańa,988.0
2004M09,Hoteles,La Rioja,186.0
2004M09,Hoteles,Espańa,384.0
2004M09,Camping,La Rioja,283.0
2004M09,Camping,Espańa,406.0
2004M09,Turismo Rural,La Rioja,216.0
2004M09,Turismo Rural,Espańa,303.0
2004M09,Apartamentos,La Rioja,225.0
2004M09,Apartamentos,Espańa,896.0
2004M10,Hoteles,La Rioja,185.0
2004M10,Hoteles,Espańa,34.0
2004M10,Camping,La Rioja,323.0
2004M10,Camping,Espańa,411.0
2004M10,Turismo Rural,La Rioja,25.0
2004M10,Turismo Rural,Espańa,265.0
2004M10,Apartamentos,La Rioja,219.0
2004M10,Apartamentos,Espańa,811.0
2004M11,Hoteles,La Rioja,18.0
2004M11,Hoteles,Espańa,297.0
2004M11,Camping,La Rioja,262.0
2004M11,Camping,Espańa,556.0
2004M11,Turismo Rural,La Rioja,204.0
2004M11,Turismo Rural,Espańa,228.0
2004M11,Apartamentos,La Rioja,174.0
2004M11,Apartamentos,Espańa,889.0
2004M12,Hoteles,La Rioja,184.0
2004M12,Hoteles,Espańa,294.0
2004M12,Camping,La Rioja,328.0
2004M12,Camping,Espańa,682.0
2004M12,Turismo Rural,La Rioja,309.0
2004M12,Turismo Rural,Espańa,309.0
2004M12,Apartamentos,La Rioja,285.0
2004M12,Apartamentos,Espańa,823.0
2005M01,Hoteles,La Rioja,195.0
2005M01,Hoteles,Espańa,33.0
2005M01,Camping,La Rioja,273.0
2005M01,Camping,Espańa,788.0
2005M01,Turismo Rural,La Rioja,195.0
2005M01,Turismo Rural,Espańa,278.0
2005M01,Apartamentos,La Rioja,21.0
2005M01,Apartamentos,Espańa,925.0
2005M02,Hoteles,La Rioja,171.0
2005M02,Hoteles,Espańa,307.0
2005M02,Camping,La Rioja,236.0
2005M02,Camping,Espańa,73.0
2005M02,Turismo Rural,La Rioja,202.0
2005M02,Turismo Rural,Espańa,25.0
2005M02,Apartamentos,La Rioja,205.0
2005M02,Apartamentos,Espańa,832.0
2005M03,Hoteles,La Rioja,186.0
2005M03,Hoteles,Espańa,308.0
2005M03,Camping,La Rioja,322.0
2005M03,Camping,Espańa,464.0
2005M03,Turismo Rural,La Rioja,316.0
2005M03,Turismo Rural,Espańa,309.0
2005M03,Apartamentos,La Rioja,259.0
2005M03,Apartamentos,Espańa,846.0
2005M04,Hoteles,La Rioja,172.0
2005M04,Hoteles,Espańa,299.0
2005M04,Camping,La Rioja,257.0
2005M04,Camping,Espańa,341.0
2005M04,Turismo Rural,La Rioja,189.0
2005M04,Turismo Rural,Espańa,226.0
2005M04,Apartamentos,La Rioja,159.0
2005M04,Apartamentos,Espańa,736.0
2005M05,Hoteles,La Rioja,169.0
