Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA,Fecha
1999M05,TOTAL,Pernoctaciones,La Rioja,TOTAL,69177,1999-05-01
1999M05,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,55879,1999-05-01
1999M05,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,13298,1999-05-01
1999M05,TOTAL,Pernoctaciones,Espańa,TOTAL,23071583,1999-05-01
1999M05,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,6870745,1999-05-01
1999M05,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,16200838,1999-05-01
1999M05,HOTELES,Viajeros,La Rioja,TOTAL,37023,1999-05-01
1999M05,HOTELES,Viajeros,La Rioja,Residentes en Espańa,28112,1999-05-01
1999M05,HOTELES,Viajeros,La Rioja,No residentes en Espańa,8911,1999-05-01
1999M05,HOTELES,Viajeros,Espańa,TOTAL,5724555,1999-05-01
1999M05,HOTELES,Viajeros,Espańa,Residentes en Espańa,2708247,1999-05-01
1999M05,HOTELES,Viajeros,Espańa,No residentes en Espańa,3016308,1999-05-01
1999M05,HOTELES,Pernoctaciones,La Rioja,TOTAL,60998,1999-05-01
1999M05,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,49046,1999-05-01
1999M05,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,11952,1999-05-01
1999M05,HOTELES,Pernoctaciones,Espańa,TOTAL,21966528,1999-05-01
1999M05,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,6283940,1999-05-01
1999M05,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,15682588,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,4238,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,3525,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,713,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,320569,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,214407,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,106162,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,8179,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,6833,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,1346,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,1105055,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,586805,1999-05-01
1999M05,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,518250,1999-05-01
1999M05,Camping,Viajeros,La Rioja,TOTAL,4238,1999-05-01
1999M05,Camping,Viajeros,La Rioja,Residentes en Espańa,3525,1999-05-01
1999M05,Camping,Viajeros,La Rioja,No residentes en Espańa,713,1999-05-01
