Periodo,Ubicación establecimiento,Grado de ocupación,DATA
2021M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,50.78
2021M09,Resto,Grado de ocupación por plazas,22.35
2021M09,Resto,Grado de ocupacion por plazas fin de semana,43.04
2021M10,TOTAL,Grado de ocupación por plazas,28.68
2021M10,TOTAL,Grado de ocupacion por plazas fin de semana,54.64
2021M10,Logrońo y Alrededores,Grado de ocupación por plazas,36.32
2021M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,76.22
2021M10,Resto,Grado de ocupación por plazas,27.58
2021M10,Resto,Grado de ocupacion por plazas fin de semana,51.54
2021M11,TOTAL,Grado de ocupación por plazas,19.87
2021M11,TOTAL,Grado de ocupacion por plazas fin de semana,49.94
2021M11,Logrońo y Alrededores,Grado de ocupación por plazas,22.63
2021M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,74.99
2021M11,Resto,Grado de ocupación por plazas,19.45
2021M11,Resto,Grado de ocupacion por plazas fin de semana,46.43
2021M12,TOTAL,Grado de ocupación por plazas,23.34
2021M12,TOTAL,Grado de ocupacion por plazas fin de semana,37.11
2021M12,Logrońo y Alrededores,Grado de ocupación por plazas,21.13
