Grupo actividad sector turístico,Indicador,Periodo,DATA
RESTO DE SECTOR SERVICIOS,Tasa de valor ańadido,2017,62.909
RESTO DE SECTOR SERVICIOS,Tasa de valor ańadido,2018,62.505
RESTO DE SECTOR SERVICIOS,Tasa de valor ańadido,2019,62.767
RESTO DE SECTOR SERVICIOS,Tasa de valor ańadido,2020,60.782
RESTO DE SECTOR SERVICIOS,Tasa bruta de explotación,2015,11.323
RESTO DE SECTOR SERVICIOS,Tasa bruta de explotación,2016,11.505
RESTO DE SECTOR SERVICIOS,Tasa bruta de explotación,2017,10.748
RESTO DE SECTOR SERVICIOS,Tasa bruta de explotación,2018,10.608
RESTO DE SECTOR SERVICIOS,Tasa bruta de explotación,2019,10.6
RESTO DE SECTOR SERVICIOS,Tasa bruta de explotación,2020,10.372
RESTO DE SECTOR SERVICIOS,Tasa de inversión,2015,11.518
RESTO DE SECTOR SERVICIOS,Tasa de inversión,2016,13.868
RESTO DE SECTOR SERVICIOS,Tasa de inversión,2017,13.593
RESTO DE SECTOR SERVICIOS,Tasa de inversión,2018,14.835
RESTO DE SECTOR SERVICIOS,Tasa de inversión,2019,11.829
RESTO DE SECTOR SERVICIOS,Tasa de inversión,2020,11.689
RESTO DE SECTOR SERVICIOS,Productividad por persona,2015,33704.353
RESTO DE SECTOR SERVICIOS,Productividad por persona,2016,33291.764
RESTO DE SECTOR SERVICIOS,Productividad por persona,2017,33914.7
RESTO DE SECTOR SERVICIOS,Productividad por persona,2018,35278.634
RESTO DE SECTOR SERVICIOS,Productividad por persona,2019,35879.483
RESTO DE SECTOR SERVICIOS,Productividad por persona,2020,34548.282
RESTO DE SECTOR SERVICIOS,Tasa de gastos de personal,2015,58.08
RESTO DE SECTOR SERVICIOS,Tasa de gastos de personal,2016,56.159
RESTO DE SECTOR SERVICIOS,Tasa de gastos de personal,2017,57.993
RESTO DE SECTOR SERVICIOS,Tasa de gastos de personal,2018,58.257
RESTO DE SECTOR SERVICIOS,Tasa de gastos de personal,2019,59.873
RESTO DE SECTOR SERVICIOS,Tasa de gastos de personal,2020,60.545
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2015,538891.139
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2016,553985.519
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2017,577715.245
