Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
TOTAL SECTOR SERVICIOS,Otros Régimenes,2017T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2018T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2018T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2018T3,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2018T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2019T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2019T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2019T3,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2019T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2020T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2020T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2020T3,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2020T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2021T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2021T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2021T3,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2021T4,2566.5
SECTOR TURÍSTICOS,TOTAL,2011T2,11220.0
SECTOR TURÍSTICOS,TOTAL,2011T3,11482.0
SECTOR TURÍSTICOS,TOTAL,2011T4,11361.0
SECTOR TURÍSTICOS,TOTAL,2012T1,11336.0
SECTOR TURÍSTICOS,TOTAL,2012T2,11403.0
SECTOR TURÍSTICOS,TOTAL,2012T3,11561.0
SECTOR TURÍSTICOS,TOTAL,2012T4,11295.0
SECTOR TURÍSTICOS,TOTAL,2013T1,11149.0
SECTOR TURÍSTICOS,TOTAL,2013T2,12403.0
SECTOR TURÍSTICOS,TOTAL,2013T3,11296.0
SECTOR TURÍSTICOS,TOTAL,2013T4,11290.0
SECTOR TURÍSTICOS,TOTAL,2014T1,11264.0
SECTOR TURÍSTICOS,TOTAL,2014T2,11525.0
SECTOR TURÍSTICOS,TOTAL,2014T3,11717.0
SECTOR TURÍSTICOS,TOTAL,2014T4,11801.0
SECTOR TURÍSTICOS,TOTAL,2015T1,11867.0
SECTOR TURÍSTICOS,TOTAL,2015T2,11974.0
SECTOR TURÍSTICOS,TOTAL,2015T3,12032.0
SECTOR TURÍSTICOS,TOTAL,2015T4,12090.0
SECTOR TURÍSTICOS,TOTAL,2016T1,12205.0
SECTOR TURÍSTICOS,TOTAL,2016T2,12194.0
SECTOR TURÍSTICOS,TOTAL,2016T3,12489.0
SECTOR TURÍSTICOS,TOTAL,2016T4,12556.0
SECTOR TURÍSTICOS,TOTAL,2017T1,12581.0
SECTOR TURÍSTICOS,TOTAL,2017T2,12698.0
SECTOR TURÍSTICOS,TOTAL,2017T3,12906.0
SECTOR TURÍSTICOS,TOTAL,2017T4,12770.0
SECTOR TURÍSTICOS,TOTAL,2018T1,13002.0
SECTOR TURÍSTICOS,TOTAL,2018T2,13074.0
SECTOR TURÍSTICOS,TOTAL,2018T3,13284.0
SECTOR TURÍSTICOS,TOTAL,2018T4,13081.0
SECTOR TURÍSTICOS,TOTAL,2019T1,13414.0
SECTOR TURÍSTICOS,TOTAL,2019T2,13659.0
SECTOR TURÍSTICOS,TOTAL,2019T3,13637.0
SECTOR TURÍSTICOS,TOTAL,2019T4,13492.0
SECTOR TURÍSTICOS,TOTAL,2020T1,11997.0
SECTOR TURÍSTICOS,TOTAL,2020T2,11682.0
SECTOR TURÍSTICOS,TOTAL,2020T3,11941.0
SECTOR TURÍSTICOS,TOTAL,2020T4,11511.0
SECTOR TURÍSTICOS,TOTAL,2021T1,11383.0
SECTOR TURÍSTICOS,TOTAL,2021T2,11586.0
SECTOR TURÍSTICOS,TOTAL,2021T3,12209.0
SECTOR TURÍSTICOS,TOTAL,2021T4,12685.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2011T2,7929.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2011T3,8181.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2011T4,8072.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T1,8044.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T2,8060.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T3,8190.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2012T4,7962.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T1,7834.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T2,7935.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T3,7922.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2013T4,7939.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T1,7895.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T2,8079.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T3,8285.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2014T4,8444.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T1,8524.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T2,8546.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T3,8624.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2015T4,8726.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T1,8834.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T2,8739.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T3,9073.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T4,9171.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T1,9224.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T2,9267.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T3,9497.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T4,9428.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T1,9617.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T2,9626.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T3,9867.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T4,9719.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T1,10066.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T2,10235.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T3,10254.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T4,10138.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T1,8746.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T2,8406.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T3,8676.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T4,8297.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T1,8172.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T2,8339.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T3,8956.0
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T4,9452.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2011T2,3291.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2011T3,3301.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2011T4,3289.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T1,3292.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T2,3343.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T3,3371.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T4,3333.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T1,3315.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T2,4468.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T3,3374.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T4,3351.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T1,3369.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T2,3446.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T3,3432.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T4,3357.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T1,3343.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T2,3428.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T3,3408.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T4,3364.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T1,3371.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T2,3455.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T3,3416.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T4,3385.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T1,3357.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T2,3431.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T3,3409.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2017T4,3342.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T1,3385.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T2,3448.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T3,3417.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2018T4,3362.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T1,3348.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T2,3424.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T3,3383.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2019T4,3354.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T1,3251.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T2,3276.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T3,3265.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2020T4,3214.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T1,3211.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T2,3247.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T3,3253.0
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2021T4,3233.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2011T2,3291.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2011T3,3301.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2011T4,3289.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T1,3292.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T2,3343.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T3,3371.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2012T4,3333.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T1,3315.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T2,4468.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T3,3374.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2013T4,3351.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T1,3369.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T2,3446.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T3,3432.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2014T4,3357.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2015T1,3343.0
SECTOR TURÍSTICOS,Régimen especial de trabajadores autónomos,2015T2,3428.0
