Periodo,Municipio,Indicador,Categoría,DATA
2016-03-01,Logrońo,Facturación media por cada habitación ocupada (ADR),TOTAL,60.89
2016-03-01,Logrońo,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,69.11
2016-03-01,Logrońo,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,61.59
2016-03-01,Logrońo,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-03-01,Logrońo,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,45.05
2016-03-01,Logrońo,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,26.08
2016-03-01,Logrońo,Ingreso por habitación disponible (RevPAR),TOTAL,39.84
2016-03-01,Logrońo,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,47.39
2016-03-01,Logrońo,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.27
2016-03-01,Logrońo,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-03-01,Logrońo,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,12.17
2016-03-01,Logrońo,Ingreso por habitación disponible (RevPAR),1 estrella de plata,12.08
2016-03-01,Haro,Facturación media por cada habitación ocupada (ADR),TOTAL,70.57
2016-03-01,Haro,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-03-01,Haro,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-03-01,Haro,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-03-01,Haro,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-03-01,Haro,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-03-01,Haro,Ingreso por habitación disponible (RevPAR),TOTAL,34.99
2016-03-01,Haro,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-03-01,Haro,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-03-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-03-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-03-01,Haro,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),TOTAL,71.14
2016-03-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),TOTAL,25.88
2016-03-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
