Municipio,Indicador,Periodo,DATA
Arenzana de Abajo,Plazas / 1000 habitantes,2017,25.1
Arenzana de Abajo,Plazas / 1000 habitantes,2018,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2019,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2020,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2021,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2022,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2023,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2024,60.61
Arenzana de Arriba,Plazas Totales,2009,60.61
Arenzana de Arriba,Plazas Totales,2010,60.61
Arenzana de Arriba,Plazas Totales,2011,60.61
Arenzana de Arriba,Plazas Totales,2012,60.61
Arenzana de Arriba,Plazas Totales,2013,60.61
Arenzana de Arriba,Plazas Totales,2014,60.61
Arenzana de Arriba,Plazas Totales,2015,60.61
Arenzana de Arriba,Plazas Totales,2016,60.61
Arenzana de Arriba,Plazas Totales,2017,60.61
Arenzana de Arriba,Plazas Totales,2018,60.61
Arenzana de Arriba,Plazas Totales,2019,60.61
Arenzana de Arriba,Plazas Totales,2020,60.61
Arenzana de Arriba,Plazas Totales,2021,60.61
Arenzana de Arriba,Plazas Totales,2022,60.61
Arenzana de Arriba,Plazas Totales,2023,60.61
Arenzana de Arriba,Plazas Totales,2024,60.61
Arenzana de Arriba,Plazas / 1000 habitantes,2009,60.61
Arenzana de Arriba,Plazas / 1000 habitantes,2010,60.61
Arenzana de Arriba,Plazas / 1000 habitantes,2011,60.61
