Municipio,Indicador,Periodo,DATA
Arenzana de Arriba,Plazas Totales,2010,
Arenzana de Arriba,Plazas Totales,2011,
Arenzana de Arriba,Plazas Totales,2012,
Arenzana de Arriba,Plazas Totales,2013,
Arenzana de Arriba,Plazas Totales,2014,
Arenzana de Arriba,Plazas Totales,2015,
Arenzana de Arriba,Plazas Totales,2016,
Arenzana de Arriba,Plazas Totales,2017,
Arenzana de Arriba,Plazas Totales,2018,
Arenzana de Arriba,Plazas Totales,2019,
Arenzana de Arriba,Plazas Totales,2020,
Arenzana de Arriba,Plazas Totales,2021,
Arenzana de Arriba,Plazas Totales,2022,
Arenzana de Arriba,Plazas Totales,2023,
Arenzana de Arriba,Plazas Totales,2024,
Arenzana de Arriba,Plazas / 1000 habitantes,2009,
Arenzana de Arriba,Plazas / 1000 habitantes,2010,
Arenzana de Arriba,Plazas / 1000 habitantes,2011,
Arenzana de Arriba,Plazas / 1000 habitantes,2012,
Arenzana de Arriba,Plazas / 1000 habitantes,2013,
Arenzana de Arriba,Plazas / 1000 habitantes,2014,
Arenzana de Arriba,Plazas / 1000 habitantes,2015,
Arenzana de Arriba,Plazas / 1000 habitantes,2016,
Arenzana de Arriba,Plazas / 1000 habitantes,2017,
Arenzana de Arriba,Plazas / 1000 habitantes,2018,
Arenzana de Arriba,Plazas / 1000 habitantes,2019,
Arenzana de Arriba,Plazas / 1000 habitantes,2020,
Arenzana de Arriba,Plazas / 1000 habitantes,2021,
Arenzana de Arriba,Plazas / 1000 habitantes,2022,
Arenzana de Arriba,Plazas / 1000 habitantes,2023,
Arenzana de Arriba,Plazas / 1000 habitantes,2024,
Arnedillo,Plazas Totales,2009,537
Arnedillo,Plazas Totales,2010,537
Arnedillo,Plazas Totales,2011,537
Arnedillo,Plazas Totales,2012,537
Arnedillo,Plazas Totales,2013,537
Arnedillo,Plazas Totales,2014,602
Arnedillo,Plazas Totales,2015,602
Arnedillo,Plazas Totales,2016,602
Arnedillo,Plazas Totales,2017,602
Arnedillo,Plazas Totales,2018,602
Arnedillo,Plazas Totales,2019,602
Arnedillo,Plazas Totales,2020,513
Arnedillo,Plazas Totales,2021,513
Arnedillo,Plazas Totales,2022,513
Arnedillo,Plazas Totales,2023,513
Arnedillo,Plazas Totales,2024,513
Arnedillo,Plazas / 1000 habitantes,2009,1137.71
Arnedillo,Plazas / 1000 habitantes,2010,1114.11
Arnedillo,Plazas / 1000 habitantes,2011,1125.79
Arnedillo,Plazas / 1000 habitantes,2012,1109.5
Arnedillo,Plazas / 1000 habitantes,2013,1111.8
